City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,78.91,scattered clouds,-23.1203,-134.9692,Pension Maro'i
4,Barranca,PE,76.19,clear sky,-10.75,-77.7667,El Olivar Hospedaje
7,Kapaa,US,73.4,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
9,Matara,LK,75.22,clear sky,5.9485,80.5353,Amaloh Boutique Resort
10,Port Alfred,ZA,70.0,clear sky,-33.5906,26.891,The Halyards Hotel
11,Atuona,PF,78.42,scattered clouds,-9.8,-139.0333,Villa Enata
21,Kasungu,MW,67.57,overcast clouds,-13.0333,33.4833,Mame Motel
25,Iranshahr,IR,62.6,clear sky,27.2025,60.6848,نیک سرشت
26,Port Elizabeth,ZA,69.8,few clouds,-33.918,25.5701,39 On Nile Guest House
27,Victoria,HK,64.0,few clouds,22.2855,114.1577,Mini Hotel Central
37,Lebu,CL,62.08,clear sky,-37.6167,-73.65,Hostal Las Lilas
41,Busselton,AU,63.0,clear sky,-33.65,115.3333,Observatory Guest House
45,Pyu,MM,68.13,overcast clouds,18.4833,96.4333,Mr Bo Bo
46,Cabo San Lucas,MX,73.99,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
47,Puncan,PH,64.62,broken clouds,15.9071,120.9907,Mt. Williams Summit
57,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
60,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
63,Allende,MX,78.8,clear sky,25.2833,-100.0167,Ecovergel Hotel Boutique
67,Constitucion,CL,65.37,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
68,Biak,ID,77.67,overcast clouds,-0.9131,122.8766,Penginapan Kim
71,San Angelo,US,62.01,clear sky,31.4638,-100.43700000000001,"Motel 6 San Angelo, TX"
77,Kushalgarh,IN,63.34,clear sky,23.199,74.4507,Hotel Janvi
82,Nampula,MZ,75.2,broken clouds,-15.1165,39.2666,Tacab Residencial
83,Ilo,PE,73.76,clear sky,-17.6394,-71.3375,Torreblanca Hotel
89,Waipawa,NZ,60.8,clear sky,-41.4122,175.5153,Tora Coastal Walk
91,Chiang Klang,TH,68.95,overcast clouds,19.2938,100.8617,Sangthong Resort
92,Adamas,GR,60.8,overcast clouds,36.7333,24.4333,Aphrodite of Milos
96,Dunedin,NZ,61.0,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
97,Broken Hill,AU,73.4,broken clouds,-31.95,141.4333,Royal Exchange Hotel
101,Houma,US,73.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
102,Geraldton,AU,68.0,clear sky,-28.7667,114.6,Broadwater Mariner Resort
109,Fayaoue,NC,78.42,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
113,Hermanus,ZA,66.0,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
115,Bredasdorp,ZA,66.0,light rain,-34.5322,20.0403,Bredasdorp Country Manor
117,Sola,VU,79.32,overcast clouds,-13.8833,167.55,Leumerus Bungalows
121,Nedjo,ET,64.58,clear sky,9.5046,35.5019,Yerosan Hotel
124,Mar Del Plata,AR,64.4,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
128,Mecca,SA,74.26,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
129,Santo Tomas,PH,75.2,scattered clouds,14.1079,121.1414,Microtel by Wyndham Batangas
