City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tolaga Bay,NZ,-38.3667,178.3,59.41,70,73,5.61,broken clouds
1,Asau,RO,46.4333,26.4,30.0,69,100,3.31,overcast clouds
2,Beringovskiy,RU,63.05,179.3167,11.39,96,100,26.75,snow
3,Rikitea,PF,-23.1203,-134.9692,78.91,66,29,10.69,scattered clouds
4,Barranca,PE,-10.75,-77.7667,76.19,65,4,12.21,clear sky
5,Longyearbyen,SJ,78.2186,15.6401,-4.0,45,0,18.41,clear sky
6,Shiyan,CN,32.6475,110.7781,45.77,60,100,4.36,overcast clouds
7,Kapaa,US,22.0752,-159.319,73.4,73,40,16.11,scattered clouds
8,Unirea,RO,44.15,23.1833,39.0,85,100,1.01,overcast clouds
9,Matara,LK,5.9485,80.5353,75.22,87,1,5.37,clear sky
10,Port Alfred,ZA,-33.5906,26.891,70.0,85,9,4.0,clear sky
11,Atuona,PF,-9.8,-139.0333,78.42,75,32,18.9,scattered clouds
12,Punta Arenas,CL,-53.15,-70.9167,57.2,54,0,28.77,clear sky
13,San Patricio,US,28.017,-97.5169,80.6,22,1,17.27,clear sky
14,Dom Pedrito,BR,-30.9828,-54.6731,81.75,71,100,3.65,overcast clouds
15,Saskylakh,RU,71.9167,114.0833,-30.41,84,85,7.9,overcast clouds
16,Severo-Yeniseyskiy,RU,60.3725,93.0408,-26.81,83,94,2.39,overcast clouds
17,Bluff,NZ,-46.6,168.3333,55.58,81,59,5.1,broken clouds
18,Carnarvon,AU,-24.8667,113.6333,86.0,48,52,16.11,broken clouds
19,Mataura,NZ,-46.1927,168.8643,55.78,74,96,1.83,overcast clouds
20,Kaitangata,NZ,-46.2817,169.8464,55.35,82,100,1.03,overcast clouds
21,Kasungu,MW,-13.0333,33.4833,67.57,95,100,4.76,overcast clouds
22,Pisco,PE,-13.7,-76.2167,80.6,54,0,14.97,clear sky
23,Sioux Lookout,CA,50.1001,-91.917,26.6,86,90,6.91,light snow
24,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,0,14.97,light rain
25,Iranshahr,IR,27.2025,60.6848,62.6,31,0,9.22,clear sky
26,Port Elizabeth,ZA,-33.918,25.5701,69.8,83,20,13.8,few clouds
27,Victoria,HK,22.2855,114.1577,64.0,79,16,10.2,few clouds
28,Nanortalik,GL,60.1432,-45.2371,32.59,89,100,7.94,overcast clouds
29,Manta,EC,-0.95,-80.7333,80.6,78,75,9.22,light rain
30,Lata,PT,40.1629,-8.3327,59.0,94,44,1.99,scattered clouds
31,Ushuaia,AR,-54.8,-68.3,55.4,58,75,2.3,broken clouds
32,Avarua,CK,-21.2078,-159.775,82.4,74,40,4.61,scattered clouds
33,Albany,US,42.6001,-73.9662,19.99,48,100,2.77,overcast clouds
34,Beidao,CN,34.5686,105.8933,35.53,68,99,2.26,overcast clouds
35,Lathi,IN,21.7167,71.3833,58.8,40,0,5.55,clear sky
36,Merauke,ID,-8.4667,140.3333,79.56,86,100,11.14,overcast clouds
